NETWORK PATCHING,,,,,,,,
Device Name,Device Type,Mod/Port,Device Name,Device Type,Mod/Port,Cable Type,IP,
PICO ENVIRONMENT,,,,,,,,
BAS-PQT-0H1E-14S-C01,Arista DCS-7150S-52-CL-R,ET43,BAS-PQT-0H1H-27S-C01,Arista DCS-7150S-52-CL-R,ET5,10G-SR MULTIMODE FIBRE,,
BAS-PQT-0H1E-15S-C02,Arista DCS-7150S-52-CL-R,ET43,BAS-PQT-0H1H-27S-C02,Arista DCS-7150S-52-CL-R,ET5,10G-SR MULTIMODE FIBRE,,
,,,,,,,,
BAS-PQT-0H1E-14S-C01,Arista DCS-7150S-52-CL-R,ET49,BAS-PQT-0H1E-15S-C02,Arista DCS-7150S-52-CL-R,ET49,10G-LR SINGLE MODE FIBRE,,
BAS-PQT-0H1E-14S-C01,Arista DCS-7150S-52-CL-R,ET50,BAS-PQT-0H1H-27S-C02,Arista DCS-7150S-52-CL-R,ET50,10G-LR SINGLE MODE FIBRE,,
BAS-PQT-0H1E-14S-C01,Arista DCS-7150S-52-CL-R,ET51,BAS-PQT-0H1E-15S-C02,Arista DCS-7150S-52-CL-R,ET51,10G-LR SINGLE MODE FIBRE,,
BAS-PQT-0H1E-14S-C01,Arista DCS-7150S-52-CL-R,ET52,BAS-PQT-0H1H-27S-C02,Arista DCS-7150S-52-CL-R,ET52,10G-LR SINGLE MODE FIBRE,,
,,,,,,,,
BAS-PQT-0H1E-14S-C01,Arista DCS-7150S-52-CL-R,ET36,BAS-PQT-0H1E-14S-OG1,Arista DCS-7150S-52-CL-R,MAN1,1000-T Copper CAT6,10.129.228.5/24,
BAS-PQT-0H1E-14S-C01,Arista DCS-7150S-52-CL-R,ET35,LAPTOP,LENOVO T460,LAN1,1000-T Copper CAT6,10.129.228.200/24,
,,,,,,,,
JPM ENVIRONMENT,,,,,,,,
BAS-FIC-0H1E-11S-C01,Arista DCS-7150S-64-CL-R,ET45,BAS-JPM-0H1E-11S-MW1,Arista DCS-7280R,ET47,10G-CR TWINAX,100.65.66.5/31,
BAS-FIC-0H1E-11S-C01,Arista DCS-7150S-64-CL-R,ET46,BAS-PQT-0H1E-14S-C01,Arista DCS-7150S-52-CL-R,ET27,10G-LR SINGLE MODE FIBRE,100.65.66.1/31,
BAS-FIC-0H1E-11S-C01,Arista DCS-7150S-64-CL-R,ET47,BAS-FIC-0H1E-12S-C02,Arista DCS-7150S-64-CL-R,ET47,10G-CR TWINAX,100.73.66.0/31,
BAS-FIC-0H1E-11S-C01,Arista DCS-7150S-64-CL-R,ET48,BAS-FIC-0H1E-12S-C02,Arista DCS-7150S-64-CL-R,ET48,10G-CR TWINAX,,
BAS-FIC-0H1E-11S-C01,Arista DCS-7150S-64-CL-R,MA1,BAS-JPM-0H1E-11S-ML1,Arista DCS-7010T-48-R,ET48,1000-T Copper CAT6,170.76.66.61/32,
BAS-FIC-0H1E-12S-C02,Arista DCS-7150S-64-CL-R,ET45,BAS-JPM-0H1E-12S-MW2,Arista DCS-7280R,ET47,10G-CR TWINAX,100.65.66.7/31,
BAS-FIC-0H1E-12S-C02,Arista DCS-7150S-64-CL-R,ET46,BAS-PQT-0H1E-15S-C02,Arista DCS-7150S-52-CL-R,ET27,10G-LR SINGLE MODE FIBRE,100.65.66.3/31,
BAS-FIC-0H1E-12S-C02,Arista DCS-7150S-64-CL-R,MA1,BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,ET48,1000-T Copper CAT6,170.76.66.62/32,
,,,,,,,,
BAS-JPM-0H1E-11S-MW1,Arista DCS-7280R,ET46,BAS-PQT-0H1E-14S-C01,Arista DCS-7150S-52-CL-R,ET28,10G-LR SINGLE MODE FIBRE,100.65.66.9/31,
BAS-JPM-0H1E-11S-MW1,Arista DCS-7280R,ET48,BAS-JPM-0H1E-12S-MW2,Arista DCS-7280R,ET48,10G-CR TWINAX,100.73.66.4/31,
BAS-JPM-0H1E-11S-MW1,Arista DCS-7280R,MA1,BAS-JPM-0H1E-11S-ML1,Arista DCS-7010T-48-R,ET46,1000-T Copper CAT6,170.76.66.63/32,
BAS-JPM-0H1E-12S-MW2,Arista DCS-7280R,ET46,BAS-PQT-0H1E-15S-C02,Arista DCS-7150S-52-CL-R,ET28,10G-LR SINGLE MODE FIBRE,100.65.66.11/31,
BAS-JPM-0H1E-12S-MW2,Arista DCS-7280R,MA1,BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,ET46,1000-T Copper CAT6,170.76.66.64/32,
,,,,,,,,
BAS-JPM-0H1E-11S-ML1,Arista DCS-7010T-48-R,ET51,BAS-JPM-0H1E-11S-MW1,Arista DCS-7280R,ET1,10G-CR TWINAX,100.65.66.9/31,
BAS-JPM-0H1E-11S-ML1,Arista DCS-7010T-48-R,ET52,BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,ET52,10G-CR TWINAX,100.73.66.2/31,
BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,ET51,BAS-JPM-0H1E-12S-MW2,Arista DCS-7280R,ET1,10G-CR TWINAX,100.65.66.11/31,
,,,,,,,,
BAS-JPM-0H1E-11S-ML1,Arista DCS-7010T-48-R,ET47,BAS-FIC-0H1E-11S-CS1,OpenGear,ET1 (LAN),1000-T Copper CAT6,170.76.66.58/27,
BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,ET47,BAS-FIC-0H1E-11S-CS1,OpenGear,ET2 (LAN),1000-T Copper CAT6,,
,,,,,,,,
BAS-JPM-0H1E-11S-ML1,Arista DCS-7010T-48-R,ET,BAS-FIC-0H1E-11S-PD5,ServerTech PDU,ET1,1000-T Copper CAT6,170.76.66.52/27,
BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,ET,BAS-FIC-0H1E-12S-PD5,ServerTech PDU,ET1,1000-T Copper CAT6,170.76.66.53/27,
BAS-JPM-0H1E-11S-ML1,Arista DCS-7010T-48-R,ET42,BAS-FIC-0H1E-11S-PD1,ServerTech PDU,ET1,1000-T Copper CAT6,170.76.66.54/27,
