NETWORK PATCHING,,,,,,,
Device Name,Mod/Port,Device Name,Mod/Port,Cable Type,IP Address,,
DC3-FIC-0000-031-C01,ET45,DC3-JPM-0000-031-MW1,ET48,10G-CR,,,
DC3-FIC-0000-031-C01,ET46,DC3-PQT-0008-085-C01,ET45,,,,
DC3-FIC-0000-031-C01,ET47,DC3-FIC-0000-032-C02,ET47,10G-CR,,,
DC3-FIC-0000-031-C01,ET48,DC3-FIC-0000-032-C02,ET48,10G-CR,,,
DC3-FIC-0000-031-C01,MA1,DC3-JPM-0000-031-ML1,ET44,1000-T,,,
DC3-FIC-0000-032-C02,ET45,DC3-JPM-0000-032-MW2,ET48,10G-CR,,,
DC3-FIC-0000-032-C02,ET46,DC3-PQT-0008-085-C02,ET45,,,,
DC3-FIC-0000-032-C02,MA1,DC3-JPM-0000-032-ML2,ET44,1000-T,,,
,,,,,,,
DC3-JPM-0000-031-ML1,ET52,DC3-JPM-0000-032-ML2,ET52,10G-CR,,,
DC3-JPM-0000-031-MW1,ET1,DC3-JPM-0000-031-ML1,ET49,10G-CR,,,
DC3-JPM-0000-031-MW1,ET45,DC3-JPM-0000-029-ML1,ET50,10G-CR,,,
DC3-JPM-0000-031-MW1,ET46,DC3-EST-0000-029-C01,ET45,10G-CR,,,
DC3-JPM-0000-031-MW1,ET47,DC3-PQT-0008-085-C01,ET48,10G-CR,,,
DC3-JPM-0000-031-MW1,ET48,DC3-JPM-0000-032-MW2,ET48,10G-CR,,,
,,,,,,,
DC3-JPM-0000-031-MW1,ET47,DC3-PQT-0008-085-C01,ET48,10G-CR,,,
DC3-JPM-0000-032-MW2,ET47,DC3-PQT-0008-085-C02,ET48,10G-CR,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET45,DC3-JPM-0000-031-MW1,ET48,10G-CR,,,
DC3-FIC-0000-031-C01,ET46,DC3-PQT-0008-085-C01,ET45,,,,
DC3-FIC-0000-031-C01,ET47,DC3-FIC-0000-032-C02,ET47,10G-CR,,,
DC3-FIC-0000-031-C01,ET48,DC3-FIC-0000-032-C02,ET48,10G-CR,,,
DC3-FIC-0000-031-C01,MA1,DC3-JPM-0000-031-ML1,ET44,1000-T,,,
DC3-FIC-0000-032-C02,ET45,DC3-JPM-0000-032-MW2,ET48,10G-CR,,,
DC3-FIC-0000-032-C02,ET46,DC3-PQT-0008-085-C02,ET45,,,,
DC3-FIC-0000-032-C02,MA1,DC3-JPM-0000-032-ML2,ET44,1000-T,,,
DC3-JPM-0000-031-ML1,ET48,DC3-JPM-0000-032-ML2,MA1,1000-T,,,
