NETWORK PATCHING,,,,,,,
Device Name,Mod/Port,Device Name,Mod/Port,Cable Type,IP Address,,
FR2-FIC-M512-205-C01,ET46,FR2-PQT-M511-417-C01,ET27,,100.65.68.1/31,,
FR2-FIC-M512-205-C01,ET47,FR2-FIC-M512-206-C02,ET47,10G-CR,100.73.68.0/31,,
FR2-FIC-M512-205-C01,ET48,FR2-FIC-M512-206-C02,ET48,10G-CR,,,
FR2-FIC-M512-205-C01,MA1,FR2-JPM-M512-205-ML1,ET48,1000-T,170.76.68.61/32,,
FR2-FIC-M512-206-C02,ET46,FR2-PQT-M511-417-C02,ET27,,100.65.68.3/31,,
FR2-FIC-M512-206-C02,MA1,FR2-FIC-M512-206-ML2,ET48,1000-T,170.76.68.62/32,,
FR2-JPM-M512-205-ML1,ET51,FR2-PQT-M511-417-C01,ET28,10G-CR,100.65.68.5/31,,
FR2-JPM-M512-205-ML1,ET52,FR2-FIC-M512-206-ML2,ET52,10G-CR,100.73.68.2/31,,
FR2-FIC-M512-206-ML2,ET51,FR2-PQT-M511-417-C02,ET28,10G-CR,100.65.68.7/31,,
FR2-JPM-M512-205-ML1,ET47,FR2-FIC-M512-205-CS1,ET1,1000-T,170.76.68.58/32,,
FR2-FIC-M512-206-ML2,ET47,FR2-FIC-M512-205-CS1,ET2,1000-T,,,
FR2-JPM-M512-205-ML1,ET46,FR2-FIC-M512-205-PD1,ET1,1000-T,170.76.68.57/32,,
FR2-FIC-M512-206-ML2,ET46,FR2-FIC-M512-206-PD2,ET1,1000-T,170.76.68.56/32,,
,,,,,,,
,,,,,,,
SERVER PATCHING,,,,,,,
Device Name,Mod/Port,Device Name,Mod/Port,Cable Type,VLAN,Bond,
FR2-FIC-M512-205-C01,ET1,RATE-FR2-P001,P1P1,10G-CR,MD-A,,
FR2-FIC-M512-205-C01,ET2,RATE-FR2-P001,P6P1,10G-CR,UCAST-A,BOND1,
FR2-FIC-M512-205-C01,ET3,RATE-FR2-P001,P5P1,10G-CR,BEM-A,BOND0,
FR2-FIC-M512-206-C02,ET1,RATE-FR2-P001,P4P2,10G-CR,MD-B,,
FR2-FIC-M512-206-C02,ET2,RATE-FR2-P001,P5P2,10G-CR,UCAST-B,BOND1,
FR2-FIC-M512-206-C02,ET3,RATE-FR2-P001,P6P2,10G-CR,BEM-B,BOND0,
FR2-JPM-M512-205-ML1,ET1,RATE-FR2-P001,EM1,1000-T,MGT-A,BOND3,
FR2-FIC-M512-206-ML2,ET1,RATE-FR2-P001,P3P2,1000-T,MGT-B,BOND3,
FR2-JPM-M512-205-ML1,ET2,RATE-FR2-P001,IMM,1000-T,,,
FR2-FIC-M512-205-C01,ET4,RATE-FR2-P002,P1P1,10G-CR,MD-A,,
FR2-FIC-M512-205-C01,ET5,RATE-FR2-P002,P6P1,10G-CR,UCAST-A,BOND1,
FR2-FIC-M512-205-C01,ET6,RATE-FR2-P002,P5P1,10G-CR,BEM-A,BOND0,
FR2-FIC-M512-206-C02,ET4,RATE-FR2-P002,P4P2,10G-CR,MD-B,,
FR2-FIC-M512-206-C02,ET5,RATE-FR2-P002,P5P2,10G-CR,UCAST-B,BOND1,
FR2-FIC-M512-206-C02,ET6,RATE-FR2-P002,P6P2,10G-CR,BEM-B,BOND0,
FR2-JPM-M512-205-ML1,ET3,RATE-FR2-P002,EM1,1000-T,MGT-A,BOND3,
FR2-FIC-M512-206-ML2,ET2,RATE-FR2-P002,P3P2,1000-T,MGT-B,BOND3,
FR2-FIC-M512-206-ML2,ET3,RATE-FR2-P002,IMM,1000-T,,,
FR2-FIC-M512-205-C01,ET7,RATE-FR2-P003,P1P1,10G-CR,MD-A,,
FR2-FIC-M512-205-C01,ET8,RATE-FR2-P003,P6P1,10G-CR,UCAST-A,BOND1,
FR2-FIC-M512-205-C01,ET9,RATE-FR2-P003,P5P1,10G-CR,BEM-A,BOND0,
FR2-FIC-M512-206-C02,ET7,RATE-FR2-P003,P4P2,10G-CR,MD-B,,
FR2-FIC-M512-206-C02,ET8,RATE-FR2-P003,P5P2,10G-CR,UCAST-B,BOND1,
FR2-FIC-M512-206-C02,ET9,RATE-FR2-P003,P6P2,10G-CR,BEM-B,BOND0,
FR2-JPM-M512-205-ML1,ET4,RATE-FR2-P003,EM1,1000-T,MGT-A,BOND3,
FR2-FIC-M512-206-ML2,ET4,RATE-FR2-P003,P3P2,1000-T,MGT-B,BOND3,
FR2-JPM-M512-205-ML1,ET5,RATE-FR2-P003,IMM,1000-T,,,
FR2-FIC-M512-205-C01,ET10,RATE-FR2-P004,P1P1,10G-CR,MD-A,,
FR2-FIC-M512-205-C01,ET11,RATE-FR2-P004,P6P1,10G-CR,UCAST-A,BOND1,
FR2-FIC-M512-205-C01,ET12,RATE-FR2-P004,P5P1,10G-CR,BEM-A,BOND0,
FR2-FIC-M512-206-C02,ET10,RATE-FR2-P004,P4P2,10G-CR,MD-B,,
FR2-FIC-M512-206-C02,ET11,RATE-FR2-P004,P5P2,10G-CR,UCAST-B,BOND1,
FR2-FIC-M512-206-C02,ET12,RATE-FR2-P004,P6P2,10G-CR,BEM-B,BOND0,
FR2-JPM-M512-205-ML1,ET6,RATE-FR2-P004,EM1,1000-T,MGT-A,BOND3,
FR2-FIC-M512-206-ML2,ET5,RATE-FR2-P004,P3P2,1000-T,MGT-B,BOND3,
FR2-FIC-M512-206-ML2,ET6,RATE-FR2-P004,IMM,1000-T,,,
FR2-FIC-M512-205-C01,ET13,RATE-FR2-P005,P1P1,10G-CR,MD-A,,
FR2-FIC-M512-205-C01,ET14,RATE-FR2-P005,P6P1,10G-CR,UCAST-A,BOND1,
FR2-FIC-M512-205-C01,ET15,RATE-FR2-P005,P5P1,10G-CR,BEM-A,BOND0,
FR2-FIC-M512-206-C02,ET13,RATE-FR2-P005,P4P2,10G-CR,MD-B,,
FR2-FIC-M512-206-C02,ET14,RATE-FR2-P005,P5P2,10G-CR,UCAST-B,BOND1,
FR2-FIC-M512-206-C02,ET15,RATE-FR2-P005,P6P2,10G-CR,BEM-B,BOND0,
FR2-JPM-M512-205-ML1,ET7,RATE-FR2-P005,EM1,1000-T,MGT-A,BOND3,
FR2-FIC-M512-206-ML2,ET7,RATE-FR2-P005,P3P2,1000-T,MGT-B,BOND3,
