NETWORK PATCHING,,,,,,
Device Name,Mod/Port,Device Name,Mod/Port,Cable Type,IP Address,
NY2-FIC-3015-0101-C01,ET46,NY4-PQT-8180-102-X03,ET27,,100.64.0.1/31,
NY2-FIC-3015-0101-C01,ET47,NY2-FIC-3015-0102-C02,ET47,10G-CR,100.71.194.0/31,
NY2-FIC-3015-0101-C01,ET48,NY2-FIC-3015-0102-C02,ET48,10G-CR,,
NY2-FIC-3015-0101-C01,MA1,NY2-JPM-3015-101-ML1,ET48,1000-T,170.76.4.36/27,
NY2-FIC-3015-0102-C02,ET46,NY4-PQT-8180-102-X04,ET27,,100.64.0.3/31,
NY2-FIC-3015-0102-C02,MA1,NY2-JPM-3015-102-ML2,ET48,1000-T,170.76.4.37/27,
NY2-JPM-3015-101-ML1,ET51,NY4-PQT-8180-102-X03,ET28,10G-CR,100.64.0.5/31,
NY2-JPM-3015-101-ML1,ET52,NY2-JPM-3015-102-ML2,ET52,10G-CR,100.71.194.2/31,
NY2-JPM-3015-102-ML2,ET51,NY4-PQT-8180-102-X04,ET28,10G-CR,100.64.0.7/31,
NY2-JPM-3015-101-ML1,ET47,NY2-FIC-3015-0101-CS1,ET1,1000-T,170.76.4.58/27,
NY2-JPM-3015-102-ML2,ET47,NY2-FIC-3015-0101-CS1,ET2,1000-T,,
NY2-JPM-3015-101-ML1,ET46,NY2-FIC-3015-0101-PD1,ET1,1000-T,170.76.4.39/27,
NY2-JPM-3015-102-ML2,ET46,NY2-FIC-3015-0102-PD2,ET1,1000-T,170.76.4.40/27,
,,,,,,
,,,,,,
SERVER PATCHING,,,,,,
Device Name,Mod/Port,Device Name,Mod/Port,Cable Type,VLAN,Bond
NY2-FIC-3015-0101-C01,ET1,RATE-NY2-P001,P1P1,10G-CR,MD-A,
NY2-FIC-3015-0101-C01,ET2,RATE-NY2-P001,P6P1,10G-CR,UCAST-A,BOND1
NY2-FIC-3015-0101-C01,ET3,RATE-NY2-P001,P5P1,10G-CR,BEM-A,BOND0
NY2-FIC-3015-0102-C02,ET1,RATE-NY2-P001,P4P2,10G-CR,MD-B,
NY2-FIC-3015-0102-C02,ET2,RATE-NY2-P001,P5P2,10G-CR,UCAST-B,BOND1
NY2-FIC-3015-0102-C02,ET3,RATE-NY2-P001,P6P2,10G-CR,BEM-B,BOND0
NY2-JPM-3015-101-ML1,ET1,RATE-NY2-P001,EM1,1000-T,MGT-A,BOND3
NY2-JPM-3015-102-ML2,ET1,RATE-NY2-P001,P3P2,1000-T,MGT-B,BOND3
NY2-JPM-3015-101-ML1,ET2,RATE-NY2-P001,IMM,1000-T,,
NY2-FIC-3015-0101-C01,ET4,RATE-NY2-P002,P1P1,10G-CR,MD-A,
NY2-FIC-3015-0101-C01,ET5,RATE-NY2-P002,P6P1,10G-CR,UCAST-A,BOND1
NY2-FIC-3015-0101-C01,ET6,RATE-NY2-P002,P5P1,10G-CR,BEM-A,BOND0
NY2-FIC-3015-0102-C02,ET4,RATE-NY2-P002,P4P2,10G-CR,MD-B,
NY2-FIC-3015-0102-C02,ET5,RATE-NY2-P002,P5P2,10G-CR,UCAST-B,BOND1
NY2-FIC-3015-0102-C02,ET6,RATE-NY2-P002,P6P2,10G-CR,BEM-B,BOND0
NY2-JPM-3015-101-ML1,ET3,RATE-NY2-P002,EM1,1000-T,MGT-A,BOND3
NY2-JPM-3015-102-ML2,ET2,RATE-NY2-P002,P3P2,1000-T,MGT-B,BOND3
NY2-JPM-3015-102-ML2,ET3,RATE-NY2-P002,IMM,1000-T,,
NY2-FIC-3015-0101-C01,ET7,RATE-NY2-P003,P1P1,10G-CR,MD-A,
NY2-FIC-3015-0101-C01,ET8,RATE-NY2-P003,P6P1,10G-CR,UCAST-A,BOND1
NY2-FIC-3015-0101-C01,ET9,RATE-NY2-P003,P5P1,10G-CR,BEM-A,BOND0
NY2-FIC-3015-0102-C02,ET7,RATE-NY2-P003,P4P2,10G-CR,MD-B,
NY2-FIC-3015-0102-C02,ET8,RATE-NY2-P003,P5P2,10G-CR,UCAST-B,BOND1
NY2-FIC-3015-0102-C02,ET9,RATE-NY2-P003,P6P2,10G-CR,BEM-B,BOND0
NY2-JPM-3015-101-ML1,ET4,RATE-NY2-P003,EM1,1000-T,MGT-A,BOND3
NY2-JPM-3015-102-ML2,ET4,RATE-NY2-P003,P3P2,1000-T,MGT-B,BOND3
NY2-JPM-3015-101-ML1,ET5,RATE-NY2-P003,IMM,1000-T,,
NY2-FIC-3015-0101-C01,ET10,RATE-NY2-P004,P1P1,10G-CR,MD-A,
NY2-FIC-3015-0101-C01,ET11,RATE-NY2-P004,P6P1,10G-CR,UCAST-A,BOND1
NY2-FIC-3015-0101-C01,ET12,RATE-NY2-P004,P5P1,10G-CR,BEM-A,BOND0
NY2-FIC-3015-0102-C02,ET10,RATE-NY2-P004,P4P2,10G-CR,MD-B,
NY2-FIC-3015-0102-C02,ET11,RATE-NY2-P004,P5P2,10G-CR,UCAST-B,BOND1
NY2-FIC-3015-0102-C02,ET12,RATE-NY2-P004,P6P2,10G-CR,BEM-B,BOND0
NY2-JPM-3015-101-ML1,ET6,RATE-NY2-P004,EM1,1000-T,MGT-A,BOND3
NY2-JPM-3015-102-ML2,ET5,RATE-NY2-P004,P3P2,1000-T,MGT-B,BOND3
